おきます-1,おく,put
ねます-2,る,to sleep \ to go to bed
はたらきます-1,はたらく,to work
べんきょうします-3,べんきょうする,to study
おわります-1,おわる,to finish \ to end
いきます-1,いく,go
きます-3,くる,come
かえります-1,かえる,"go home, return"
たべます-2,たる,to eat
すいます-1,すう,to smoke / to inhale
みます-2,る,to see / to watch / to look at
ききます-1,きく,to listen / to ask
よみます-1,よむ,to read
かきます-1,かく,to write
かいます-1,かう,to buy
します-3,する,to do
あいます-1,あう,to meet
きります-1,きる,"cut, slice"
おくります-1,おくる,পাঠানো / উপহার দেওয়া
あげます-2,ある,দেওয়া
もらいます-1,もらう,গ্রহণ করা
かします-1,かす,ধার দেওয়া
かります-2,かる,ধার নেওয়া
おしえます-2,おしる,tell
ならいます-1,ならう,শেখা
しつれいします-3,しつれいする,"Thank you, May I? (lit. I'm afraid I'll be disturbing you)"
いただきます-1,いただく,"Thank you, I accept (said before starting to eat or drink)"
そろそろしつれいします-3,そろそろしつれいする,It's almost time to leave now
わかります-1,わかる,understand
あります-1,ある,"exist, be (referring to inanimate things)"
います-2,る,"exist, be (referring to animate things)"
できます-2,でる,can
いります-1,いる,"need, require"
ふります-1,ふる,rain
かかります-1,かかる,take (referring to time or money)
あそびます-1,あそぶ,"enjoy oneself, play"
およぎます-1,およぐ,swim
むかえます-2,むかる,"go to meet, welcome"
つかれます-2,つかる,get tired
だします-1,だす,hand in
はいります-1,はいる,enter
でます-2,る,graduate
けっこんします-3,けっこんする,"marry, get married"
しょくじします-3,しょくじする,"have a meal, dine"
さんぽします-3,さんぽする,take a walk
つけます-2,つる,turn on
けします-1,けす,turn off
しめます-2,しる,"close, shut"
いそぎます-1,いそぐ,hurry
まちます-1,まつ,wait
もちます-1,もつ,hold
てつだいます-1,てつだう,help (with a task)
よびます-1,よぶ,call
はなします-1,はなす,"speak, talk"
みせます-2,みる,show
はじめます-2,はじる,"start, begin"
コピーします-3,コピーする,copy
たちます-1,たつ,stand up
すわります-1,すわる,sit down
つかいます-1,つかう,use
つくります-1,つくる,"make, produce"
うります-1,うる,sell
しります-1,しる,get to know
すみます-1,すむ,be going to live
けんきゅうします-3,けんきゅうする,do research
しっています-1,しってう,know
すんでいます-1,すんでう,live
おもいだします-1,おもいだす,"remember, recollect"
いらっしゃいます-1,いらっしゃう,be (honorific equivalent of imasu)
おります-2,おる,get off
いれます-2,いる,"put in, insert"
おします-1,おす,"press, push"
おぼえます-2,おぼる,memorize
わすれます-2,わする,forget
なくします-1,なくす,lose
はらいます-1,はらう,pay
かえします-1,かえす,"give back, return"
でかけます-2,でかる,go out
ぬぎます-1,ぬぐ,"take off (clothes, shoes, etc.)"
もっていきます-1,もっていく,take (something)
もってきます-3,もってく,bring (something)
しんぱいします-1,しんぱいす,worry
ざんぎょうします-1,ざんぎょうす,work overtime
しゅっちょうします-1,しゅっちょうす,go on a business trip
できます-2,でる,"be able to, can"
あらいます-1,あらう,wash
ひきます-1,ひく,"play (stringed instrument or piano, etc.)"
うたいます-1,うたう,sing
あつめます-2,あつる,"collect, gather"
すてます-2,する,throw away
かえます-2,かる,"exchange, change"
うんてんします-3,うんてんする,drive
そうじします-3,そうじする,clean (a room)
せんたくします-3,せんたくする,wash (clothes)
れんしゅうします-3,れんしゅうする,practice
なります-1,なる,become
しらべます-2,しらる,"check, investigate"
なおします-1,なおす,"repair, correct"
しゅうりします-1,しゅうりす,repair
でんわします-3,でんわする,to phone
