おきます-1,おかなかった,put
ねます-2,ねなかった,to sleep \ to go to bed
はたらきます-1,はたらかなかった,to work
べんきょうします-3,べんきょうしなかった,to study
おわります-1,おわらなかった,to finish \ to end
いきます-1,いかなかった,go
きます-3,こなかった,come
かえります-1,かえらなかった,"go home, return"
たべます-2,たべなかった,to eat
すいます-1,すわなかった,to smoke / to inhale
みます-2,みなかった,to see / to watch / to look at
ききます-1,きかなかった,to listen / to ask
よみます-1,よまなかった,to read
かきます-1,かかなかった,to write
かいます-1,かわなかった,to buy
します-3,しなかった,to do
あいます-1,あわなかった,to meet
きります-1,きらなかった,"cut, slice"
おくります-1,おくらなかった,পাঠানো / উপহার দেওয়া
あげます-2,あげなかった,দেওয়া
もらいます-1,もらわなかった,গ্রহণ করা
かします-1,かさなかった,ধার দেওয়া
かります-2,かりなかった,ধার নেওয়া
おしえます-2,おしえなかった,tell
ならいます-1,ならわなかった,শেখা
しつれいします-3,しつれいしなかった,"Thank you, May I? (lit. I'm afraid I'll be disturbing you)"
いただきます-1,いただかなかった,"Thank you, I accept (said before starting to eat or drink)"
そろそろしつれいします-3,そろそろしつれいしなかった,It's almost time to leave now
わかります-1,わからなかった,understand
あります-1,なかった,"exist, be (referring to inanimate things)"
います-2,いなかった,"exist, be (referring to animate things)"
できます-2,できなかった,can
いります-1,いらなかった,"need, require"
ふります-1,ふらなかった,rain
かかります-1,かからなかった,take (referring to time or money)
あそびます-1,あそばなかった,"enjoy oneself, play"
およぎます-1,およがなかった,swim
むかえます-2,むかえなかった,"go to meet, welcome"
つかれます-2,つかれなかった,get tired
だします-1,ださなかった,hand in
はいります-1,はいらなかった,enter
でます-2,でなかった,graduate
けっこんします-3,けっこんしなかった,"marry, get married"
しょくじします-3,しょくじしなかった,"have a meal, dine"
さんぽします-3,さんぽしなかった,take a walk
つけます-2,つけなかった,turn on
けします-1,けさなかった,turn off
しめます-2,しめなかった,"close, shut"
いそぎます-1,いそがなかった,hurry
まちます-1,またなかった,wait
もちます-1,もたなかった,hold
てつだいます-1,てつだわなかった,help (with a task)
よびます-1,よばなかった,call
はなします-1,はなさなかった,"speak, talk"
みせます-2,みせなかった,show
はじめます-2,はじめなかった,"start, begin"
コピーします-3,コピーしなかった,copy
たちます-1,たたなかった,stand up
すわります-1,すわらなかった,sit down
つかいます-1,つかわなかった,use
つくります-1,つくらなかった,"make, produce"
うります-1,うらなかった,sell
しります-1,しらなかった,get to know
すみます-1,すまなかった,be going to live
けんきゅうします-3,けんきゅうしなかった,do research
しっています-1,しってわなかった,know
すんでいます-1,すんでわなかった,live
おもいだします-1,おもいださなかった,"remember, recollect"
いらっしゃいます-1,いらっしゃらなかった,be (honorific equivalent of imasu)
おります-2,おりなかった,get off
いれます-2,いれなかった,"put in, insert"
おします-1,おさなかった,"press, push"
おぼえます-2,おぼえなかった,memorize
わすれます-2,わすれなかった,forget
なくします-1,なくさなかった,lose
はらいます-1,はらわなかった,pay
かえします-1,かえさなかった,"give back, return"
でかけます-2,でかけなかった,go out
ぬぎます-1,ぬがなかった,"take off (clothes, shoes, etc.)"
もっていきます-1,もっていかなかった,take (something)
もってきます-3,もってかなかった,bring (something)
しんぱいします-1,しんぱいさなかった,worry
ざんぎょうします-1,ざんぎょうさなかった,work overtime
しゅっちょうします-1,しゅっちょうさなかった,go on a business trip
できます-2,できなかった,"be able to, can"
あらいます-1,あらわなかった,wash
ひきます-1,ひかなかった,"play (stringed instrument or piano, etc.)"
うたいます-1,うたわなかった,sing
あつめます-2,あつめなかった,"collect, gather"
すてます-2,すてなかった,throw away
かえます-2,かえなかった,"exchange, change"
うんてんします-3,うんてんしなかった,drive
そうじします-3,そうじしなかった,clean (a room)
せんたくします-3,せんたくしなかった,wash (clothes)
れんしゅうします-3,れんしゅうしなかった,practice
なります-1,ならなかった,become
しらべます-2,しらべなかった,"check, investigate"
なおします-1,なおさなかった,"repair, correct"
しゅうりします-1,しゅうりさなかった,repair
でんわします-3,でんわしなかった,to phone
