私,わたし,I
私たち,わたしたち,we
あなた,あなた,you
あの人,あのひと,"that person, he, she"
あの方,あのかた,that person (polite)
皆さん,みなさん,"ladies and gentlemen, all of you"
〜さん,～さん,Mr.\Ms.
〜ちゃん,～ちゃん,suffix for children
〜君,～くん,suffix for boys
?,～じん,a national of
先生,せんせい,"teacher, instructor"
教師,きょうし,"teacher, instructor (Profession)"
学生,がくせい,student
会社員,かいしゃいん,company employee
社員,しゃいん,employee of a company
銀行員,ぎんこういん,bank employee
医者,いしゃ,medical doctor
研究者,けんきゅうしゃ,researcher
エンジニア,エンジニア,engineer
大学,だいがく,university
病院,びょういん,hospital
電気,でんき,electricity
誰,だれ,who
どなた,どなた,who (polite)
〜歳,～さい,~years old
何歳,なんさい,how old
おいくつ,おいくつ,how old (polite)
はい,はい,yes
いいえ,いいえ,no
失礼ですが,しつれいですが,"excuse me, but"
お名前は,おなまえは,may I have your name?
初めまして,はじめまして,How do you do?
?,どうぞよろしくおねがいします,Pleased to meet you
?,こちらは～さんです,This is Mr.\Ms.
〜から来ました,～からきました,I came from
?,アメリカ,U.S.A.
?,イギリス,U.K.
?,インド,India
?,インドネシア,Indonesia
?,かんこく,South Korea
?,タイ,Thailand
?,ちゅうごく,China
?,ドイツ,Germany
?,にほん,Japan
?,フランス,France
?,ブラジル,Brazil
