আমি ছাত্র।,わたしはがくせいです。  
আমি ডাক্তার।,わたしはいしゃです。  
সে ইঞ্জিনিয়ার।,あのひとはエンジニアです。  
আপনি শিক্ষক।,あなたはせんせいです。  
মিনা-সান ছাত্র।,みなさんはがくせいです。  
কোম্পানির কর্মচারী।,かいしゃいんです。  
ওই ভদ্রলোক শিক্ষক।,あのかたはせんせいです。  
করিম ব্যাংকার।,カリムさんはぎんこういんです。  
আমরা গবেষক।,わたしたちはけんきゅうしゃです。  
তুমি ছাত্র।,あんたはがくせいです。  
আমি ছাত্র নই।,わたしはがくせいじゃありません。  
সে ডাক্তার নয়।,あのひとはいしゃじゃありません。  
আপনি শিক্ষক নন।,あなたはせんせいじゃありません。  
মিনা-সান ইঞ্জিনিয়ার নয়।,みなさんはエンジニアじゃありません。  
ওই ভদ্রলোক কর্মচারী নন।,あのかたはしゃいんじゃありません。  
আপনি কি ছাত্র?,あなたはがくせいですか。  
আপনি কি ডাক্তার?,あなたはいしゃですか。  
সে কি শিক্ষক?,あのひとはせんせいですか。  
আপনার নাম কী?,あなたのおなまえはなんですか。  
আপনার বয়স কত?,あなたはなんさいですか。  
"আমি ছাত্র, সেও ছাত্র।",わたしはがくせいです。あのひともがくせいです。  
"আমি ডাক্তার, মিনাও ডাক্তার।",わたしはいしゃです。みなさんもいしゃです。  
"সে কর্মচারী, সেও কর্মচারী।",あのひとはしゃいんです。あのかたもしゃいんです。  
"করিম ব্যাংকার, সেও ব্যাংকার।",カリムさんはぎんこういんです。みなさんもぎんこういんです。  
"আমি গবেষক, তুমিও গবেষক।",わたしはけんきゅうしゃです。あんたもけんきゅうしゃです。  
এটা আমার বই।,わたしのほんです。  
এটা আমার বিশ্ববিদ্যালয়।,わたしのだいがくです。  
এটা আপনার হাসপাতাল।,あなたのびょういんです。  
এটা আপনার বিদ্যুৎ কোম্পানি।,あなたのでんきがいしゃです。  
এটা করিম-সানের নাম।,カリムさんのおなまえです。  
