?,これ,this (thing here)
?,それ,that (thing near you)
?,あれ,that (thing over there)
?,この～,"this ~, this ~ here"
?,その～,"that ~, that ~ there"
?,あの～,"that ~, that ~ over there"
本,ほん,book
辞書,じしょ,dictionary
雑誌,ざっし,magazine
新聞,しんぶん,newspaper
ノート,ノート,notebook
手帳,てちょう,pocket notebook
名刺,めいし,business card
カード,カード,card
?,テレホンカード,telephone card
鉛筆,えんぴつ,pencil
ボールペン,ボールペン,ballpoint pen
?,シャップペンシル,mechanical pencil
鍵,かぎ,key
時計,とけい,"watch, clock"
傘,かさ,umbrella
鞄,かばん,"bag, briefcase"
?,テープ,(cassette) tape
?,テープレコーダー,tape recorder
テレビ,テレビ,television
ラジオ,ラジオ,radio
カメラ,カメラ,camera
コンピューター,コンピューター,computer
自動車,じどうしゃ,"automobile, car"
机,つくえ,desk
?,いす,chair
?,チョコレート,chocolate
?,コーヒー,coffee
英語,えいご,the English language
日本語,にほんご,the Japanese language
〜語,～ご,~ language
何,なん,what
?,そう,so
違います,ちがいます,"No it isn't, You are wrong"
?,そうですか,"I see, Is that so?"
?,あのう,well (used to show hesitation)
ほんの気持ちです,ほんのきもちです,"It's nothing, It's a token of my gratitude"
?,どうぞ,"Please, Here you are (when offering someone something)"
?,どうも,"Well, thanks"
有難う,ありがとう,Thank you
?,どうもありがとうございます,Thank you very much
?,これからおせわになります,Thank you in advance for your support/help.
?,こちらこそよろしく,I am pleased to meet you too
