এটা বই।,これはほんです。
ওটা অভিধান।,それはじしょです。
ঐটা পত্রিকা।,あれはざっしです。
এটা খবরের কাগজ?,これはしんぶんですか。
ওটা নোটবুক?,それはノートですか。
ঐটা খাতা নয়।,あれはノートじゃありません。
এটা হাতের খাতা।,これはてちょうです。
ওটা ভিজিটিং কার্ড।,それはめいしです。
ঐটা কার্ড?,あれはカードですか。
এটা টেলিফোন কার্ড।,これはテレホンカードです。
এই বই আমার।,このほんはわたしのです。
ওই অভিধান আপনার।,そのじしょはあなたのです。
ঐ ক্যামেরা করিম-সানের।,あのカメラはカリムさんのです。
এই কলম আমার।,このボールペンはわたしのです。
ওই ঘড়ি মিনার।,そのとけいはミナさんのです。
এটা জাপানের বই।,これはにほんのほんです。
ওটা বাংলাদেশের পত্রিকা।,それはバングラデシュのしんぶんです。
ঐটা আমার ছাতা।,あれはわたしのかさです。
এই কম্পিউটার আপনার।,このコンピューターはあなたのです。
ওই চেয়ার তার।,そのいすはあのひとのです。
এটা বই কি?,これはほんですか。
ওটা অভিধান কি?,それはじしょですか。
ঐটা ক্যামেরা কি?,あれはカメラですか。
এটা রেডিও কি?,これはラジオですか。
ওটা গাড়ি কি?,それはじどうしゃですか。
এটা বই না অভিধান?,これはほんですか、じしょですか。
ওটা খাতা না নোটবুক?,それはノートですか、てちょうですか。
ঐটা কলম না পেন্সিল?,あれはボールペンですか、えんぴつですか。
এটা ক্যামেরা না টেলিভিশন?,これはカメラですか、テレビですか。
ওটা টেলিফোন কার্ড না ভিজিটিং কার্ড?,それはテレホンカードですか、めいしですか。
