いきます,いって,go
きます,きて,"come; put on (a shirt, etc.)"
かえります,かえって,"go home, return"
たべます,たべて,to eat
のみます,のんで,to drink
すいます,すって,to smoke / to inhale
みます-II,みて,to see / to watch / to look at
ききます,きいて,"to listen / to ask; ask"
よみます,よんで,to read
かきます,かいて,to write
かいます,かって,to buy
とります,とって,"to take / to take a photo; take, pass"
します,して,to do
あいます,あって,to meet
きります,きって,"cut, slice"
おくります,おくって,"to send / to give (as a gift); escort, go with"
あげます,あげて,to give
もらいます,もらって,to receive
かします,かして,to lend
かります-II,かりて,to borrow
おしえます,おしえて,"to teach; tell"
ならいます,ならって,to learn
かけます,かけて,to make a telephone call
わかります,わかって,to understand
あります,あって,"to have / to exist (things); be held, take place"
います-II,いて,to exist (people/animals)
できます-II,できて,can
いります,いって,"need; require"
ふります,ふって,to fall (rain/snow)
かかります,かかって,to take (time/money)
あそびます,あそんで,"enjoy oneself, play"
およぎます,およいで,swim
むかえます,むかえて,"go to meet, welcome"
つかれます,つかれて,get tired
だします,だして,"send; take out, withdraw"
はいります,はいって,enter
でます,でて,"go out; graduate; come out"
けっこんします,けっこんして,"marry, get married"
かいものします,かいものして,do shopping
しょくじします,しょくじして,"have a meal, dine"
さんぽします,さんぽして,take a walk
つけます,つけて,turn on
けします,けして,turn off
しめます,しめて,"close, shut"
いそぎます,いそいで,hurry
まちます,まって,wait
とめます,とめて,"stop, park"
まがります,まがって,turn
もちます,もって,hold
てつだいます,てつだって,help (with a task)
よびます,よんで,call
はなします,はなして,"speak, talk"
みせます,みせて,show
はじめます,はじめて,"start, begin"
たちます,たって,stand up
すわります,すわって,sit down
つかいます,つかって,use
おきます-I (Put),おいて,put
おきます-II (get-up),おきて,get up
つくります,つくって,"make, produce"
うります,うって,sell
しります,しって,get to know
すみます,すんで,live
けんきゅうします,けんきゅうして,do research
のります,のって,"ride, get on"
おります-II,おりて,get off
のりかえます,のりかえて,"change (trains, etc.)"
いれます,いれて,"put in, insert"
やめます,やめて,"quit or retire from, stop, give up"
おします,おして,"press, push"
おぼえます,おぼえて,memorize
わすれます,わすれて,forget
なくします,なくして,lose
はらいます,はらって,pay
かえします,かえして,"give back, return"
でかけます,でかけて,go out
ぬぎます,ぬいで,"take off (clothes, shoes, etc.)"
もっていきます,もっていって,take (something)
もってきます-III,もってきて,bring (something)
しんぱいします,しんぱいして,worry
ざんぎょうします,ざんぎょうして,work overtime
しゅっちょうします,しゅっちょうして,go on a business trip
あらいます,あらって,wash
ひきます,ひいて,"play (stringed instrument or piano, etc.); pull"
うたいます,うたって,sing
あつめます,あつめて,"collect, gather"
すてます,すてて,throw away
かえます,かえて,"exchange, change"
うんてんします,うんてんして,drive
よやくします,よやくして,"reserve, book"
けんがくします,けんがくして,visit some place for study
のぼります,のぼって,climb
とまります,とまって,stay
そうじします,そうじして,clean (a room)
せんたくします,せんたくして,wash (clothes)
れんしゅうします,れんしゅうして,practice
しらべます,しらべて,"check, investigate"
なおします,なおして,"repair, correct"
しゅうりします,しゅうりして,repair
でんわします,でんわして,to phone
いいます,いって,say
かちます,かって,win
まけます,まけて,"lose, be beaten"
はきます,はいて,"put on (shoes, trousers, etc.)"
かぶります,かぶって,"put on (a hat, etc)"
まわします,まわして,turn
さわります,さわって,touch
うごきます,うごいて,"move, work"
あるきます,あるいて,walk
わたります,わたって,cross
きをつけます,きをつけて,"pay attention, take care"
ひっこしします,ひっこしして,move (house)
くれます,くれて,give(me)
つれていきます,つれていって,take (someone)
つれてきます-III,つれてきて,bring (someone)
しょうかいします,しょうかいして,introduce
あんないします,あんないして,"show around, show the way"
せつめいします,せつめいして,explain
かんがえます,かんがえて,"think, consider"
つきます,ついて,arrive
りゅうがくします,りゅうがくして,study abroad
としをとります,としをとって,grow old
がんばります,がんばって,do one's best
あびます-II,あびて,to take a shower / to bathe
たります-II,たりて,to be enough / to suffice
